Graphics v 0.2.5 ';' exported '2021-12-21 11:44:36'
;Record #1;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0;0;0;0;0.102061;0.386654;22.3356;
0.00333333;0;5;0;0.102061;0.384691;22.3376;
0.00666667;0;5;0;0.0765456;0.384691;22.3396;
0.01;0;5;0;0.102061;0.382728;22.3396;
0.0133333;0;5;0;11.2267;0.392542;22.3396;
0.0166667;0;5;0;28.9598;0.700687;22.3435;
0.02;0;5;0;64.2218;1.54269;22.3435;
0.0233333;0;5;0;104.051;3.03435;22.3474;
0.0266667;0;5;0;150.438;4.9264;22.3474;
0.03;0;5;0;204.122;7.9529;22.3494;
0.0333333;0;5;0;258.673;9.80765;22.3513;
0.0366667;0;5;0;316.822;13.6389;22.3513;
0.04;0;5;0;374.844;15.9352;22.3533;
0.0433333;0;5;0;436.31;18.3631;22.3552;
0.0466667;0;5;0;499.588;20.2571;22.3592;
0.05;0;5;0;541.05;22.6536;22.3592;
0.0533333;0;5;0;565.698;23.8606;22.3631;
0.0566667;0;5;0;573.761;24.9892;22.3631;
0.06;0;5;0;566.055;24.9284;22.3651;
0.0633333;0;5;0;546.51;23.8351;22.367;
0.0666667;0;5;0;526.736;23.1914;22.3768;
0.07;0;5;0;511.019;22.318;22.3965;
0.0733333;0;5;0;497.623;20.632;22.4102;
0.0766667;0;5;0;480.758;20.5515;22.4239;
0.08;0;5;0;467.694;19.5761;22.4338;
0.0833333;0;5;0;455.191;19.3582;22.4416;
0.0866667;0;5;0;455.217;18.4907;22.4495;
0.09;0;5;0;453.686;20.2453;22.4554;
0.0933333;0;5;0;455.931;19.6604;22.4652;
0.0966667;0;5;0;449.986;19.8332;22.4711;
0.1;0;5;0;452.691;20.895;22.4769;
0.103333;0;5;0;456.11;20.8538;22.4809;
0.106667;0;5;0;449.119;20.0412;22.4867;
0.11;0;5;0;447.971;20.577;22.4887;
0.113333;0;5;0;442.485;20.6418;22.4926;
0.116667;0;5;0;443.812;18.893;22.5083;
0.12;0;5;0;443.148;19.4504;22.5221;
0.123333;0;5;0;436.948;20.6654;22.5339;
0.126667;0;5;0;434.473;19.1129;22.5437;
0.13;0;5;0;430.161;19.3268;22.5515;
0.133333;0;5;0;430.875;19.3935;22.5594;
0.136667;0;5;0;431.437;19.1717;22.5633;
0.14;0;5;0;426.946;19.8351;22.5672;
0.143333;0.00588812;5;0;426.869;18.7753;22.5731;
0.146667;0.0117762;5;0;423.782;18.6477;22.5751;
0.15;0.013739;5;0;424.292;19.894;22.581;
0.153333;0.0215898;5;0;424.369;19.2581;22.5829;
0.156667;0.0274779;5;0;422.532;19.3386;22.5868;
0.16;0.0314033;5;0;420.822;19.0383;22.5868;
0.163333;0.0294406;5;0;417.939;18.473;22.5908;
0.166667;0.0314033;5;0;416.051;19.2797;22.5908;
0.17;0.0412169;5;0;414.546;18.7105;22.6006;
0.173333;0.0451423;5;0;413.321;19.2228;22.6065;
0.176667;0.047105;5;0;409.723;19.0775;22.6124;
0.18;0.047105;5;0;404.85;18.6928;22.6163;
0.183333;0.0490677;5;0;406.891;18.1138;22.6202;
0.186667;0.0529931;5;0;409.519;17.5348;22.6241;
0.19;0.0529931;5;0;411.586;19.0579;22.6261;
0.193333;0.0549558;5;0;406.202;19.2856;22.6281;
0.196667;0.0529931;5;0;406.457;19.0618;22.632;
0.2;0.0569186;5;0;407.299;18.8695;22.6359;
0.203333;0.0588813;5;0;409.851;18.0196;22.6379;
0.206667;0.0569186;5;0;411.229;19.1129;22.6379;
0.21;0.060844;5;0;404.901;18.9284;22.6398;
0.213333;0.0686948;5;0;405.156;19.2345;22.6418;
0.216667;0.0706575;5;0;402.604;19.2247;22.6398;
0.22;0.0726202;5;0;405.488;18.4082;22.6379;
0.223333;0.0706575;5;0;407.555;19.1757;22.6359;
0.226667;0.0745829;5;0;406.355;18.3749;22.634;
0.23;0.0785083;5;0;406.661;18.8165;22.632;
0.233333;0.0843965;5;0;405.335;19.2404;22.632;
0.236667;0.0883219;5;0;406.381;18.8106;22.632;
0.24;0.0883219;5;0;406.024;19.2817;22.6281;
0.243333;0.0883219;5;0;406.228;18.2924;22.6261;
0.246667;0.0902846;5;0;401.941;18.634;22.6261;
0.25;0.0863592;5;0;402.018;17.7272;22.6241;
0.253333;0.0883219;5;0;402.349;18.3278;22.6222;
0.256667;0.0883219;5;0;405.156;18.4495;22.6241;
0.26;0.0883219;5;0;406.457;18.577;22.6202;
0.263333;0.0902846;5;0;403.345;19.2149;22.6182;
0.266667;0.0961727;5;0;403.472;18.3808;22.6124;
0.27;0.0902846;5;0;401.431;18.7321;22.6065;
0.273333;0.0922473;5;0;402.63;17.8606;22.6026;
0.276667;0.0922473;5;0;402.86;18.4612;22.5967;
0.28;0.0961727;5;0;402.094;18.4907;22.5947;
0.283333;0.0902846;5;0;401.405;18.5182;22.5927;
0.286667;0.100098;5;0;401.482;19.1541;22.5927;
0.29;0.09421;5;0;402.962;18.5162;22.5947;
0.293333;0.09421;5;0;403.676;19.0677;22.5927;
0.296667;0.0961727;5;0;403.855;18.2257;22.5947;
0.3;0.104024;5;0;399.721;18.4612;22.5947;
0.303333;0.100098;5;0;400.691;17.8351;22.5947;
0.306667;0.100098;5;0;400.767;18.1256;22.5947;
0.31;0.0961727;5;0;402.885;18.526;22.5967;
0.313333;0.0961727;5;0;404.186;18.4926;22.5967;
0.316667;0.102061;5;0;402.503;19.156;22.5986;
0.32;0.100098;5;0;402.63;18.4769;22.5967;
0.323333;0.107949;5;0;402.247;18.8027;22.5967;
0.326667;0.100098;5;0;402.451;18.0569;22.5986;
0.33;0.0961727;5;0;401.814;18.4985;22.5967;
0.333333;0.102061;5;0;401.635;18.3925;22.5967;
0.336667;0.102061;5;0;398.497;18.2316;22.6006;
0.34;0.102061;5;0;398.471;18.7301;22.6045;
0.343333;0.100098;5;0;400.232;18.4181;22.6084;
0.346667;0.100098;5;0;402.63;19.1757;22.6104;
0.35;0.107949;5;0;403.855;18.4141;22.6124;
0.353333;0.0981354;5;0;400.895;18.8106;22.6143;
0.356667;0.105986;5;0;399.747;17.8979;22.6182;
0.36;0.102061;5;0;398.114;18.1884;22.6182;
0.363333;0.0981354;5;0;399.364;17.9058;22.6202;
0.366667;0.104024;5;0;399.415;18.0589;22.6222;
0.37;0.104024;5;0;399.288;18.632;22.6222;
0.373333;0.0981354;5;0;398.318;18.3592;22.6241;
0.376667;0.107949;5;0;399.237;19.0697;22.6261;
0.38;0.104024;5;0;401.099;18.4769;22.6281;
0.383333;0.100098;5;0;402.298;18.9107;22.6281;
0.386667;0.107949;5;0;402.936;18.1178;22.6281;
0.39;0.105986;5;0;399.237;18.2924;22.6398;
0.393333;0.105986;5;0;399.849;18.0765;22.6497;
0.396667;0.105986;5;0;398.471;18.0353;22.6595;
0.4;0.104024;5;0;400.64;18.7439;22.6673;
0.403333;0.102061;5;0;401.354;18.4102;22.6732;
0.406667;0.109912;5;0;400.64;19.0736;22.6791;
0.41;0.109912;5;0;400.767;18.4024;22.683;
0.413333;0.111874;5;0;400.793;18.6241;22.685;
0.416667;0.109912;5;0;401.201;18.0746;22.683;
0.42;0.109912;5;0;401.329;18.3788;22.687;
0.423333;0.109912;5;0;401.431;18.4691;22.687;
0.426667;0.113837;5;0;397.425;18.2257;22.687;
0.43;0.113837;5;0;397.961;18.6143;22.687;
0.433333;0.111874;5;0;397.476;18.2964;22.687;
0.436667;0.1158;5;0;399.823;19.1286;22.6889;
0.44;0.113837;5;0;401.839;18.4534;22.6987;
0.443333;0.113837;5;0;399.823;18.6889;22.7046;
0.446667;0.113837;5;0;399.798;17.9392;22.7125;
0.45;0.109912;5;0;399.134;18.0255;22.7164;
0.453333;0.117762;5;0;399.645;18.1119;22.7203;
0.456667;0.111874;5;0;399.083;18.0059;22.7223;
0.46;0.117762;5;0;399.721;18.897;22.7262;
0.463333;0.117762;5;0;397.757;18.3886;22.7282;
0.466667;0.1158;5;0;398.624;19.0128;22.7301;
0.47;0.113837;5;0;400.359;18.5162;22.7321;
0.473333;0.113837;5;0;402.12;18.8106;22.7341;
0.476667;0.123651;5;0;403.447;18.2237;22.736;
0.48;0.1158;5;0;400.895;18.2179;22.736;
0.483333;0.117762;5;0;401.227;18.3533;22.738;
0.486667;0.111874;5;0;399.16;18.0118;22.736;
0.49;0.113837;5;0;400.716;18.7321;22.7341;
0.493333;0.1158;5;0;400.206;18.3788;22.7301;
0.496667;0.117762;5;0;399.823;18.8361;22.7282;
0.5;0.117762;5;0;399.313;18.3906;22.7262;
0.503333;0.1158;5;0;399.39;18.3572;22.7262;
0.506667;0.1158;5;0;400.665;17.9941;22.7262;
0.51;0.119725;5;0;401.558;18.0923;22.7262;
0.513333;0.119725;5;0;401.814;18.5162;22.7301;
0.516667;0.1158;5;0;398.471;18.0824;22.7341;
0.52;0.117762;5;0;400.078;18.8557;22.736;
0.523333;0.117762;5;0;397.961;18.473;22.738;
