Graphics v 0.2.5 ';' exported '2021-12-21 11:41:00'
;Record #2;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0.36;44.9166;0;0;400.716;19.0226;22.4848;
0.363333;44.897;0;0;398.573;19.2306;22.4946;
0.366667;44.9068;0;0;400.538;18.6006;22.5025;
0.37;44.9656;0;0;399.721;19.0697;22.5123;
0.373333;44.9558;0;0;399.211;18.0942;22.5162;
0.376667;44.9853;0;0;399.185;18.4828;22.5221;
0.38;44.9656;0;0;399.032;18.1256;22.5299;
0.383333;44.9951;0;0;401.482;18.8577;22.5397;
0.386667;44.9951;0;0;402.069;19.1737;22.5476;
0.39;45.0049;0;0;402.094;18.4573;22.5535;
0.393333;45.0049;0;0;398.369;19.1384;22.5594;
0.396667;45.0147;0;0;398.777;17.8449;22.5653;
0.4;45.0245;0;0;398.522;18.3396;22.5672;
0.403333;45.0245;0;0;401.609;17.9804;22.5711;
0.406667;45.0344;0;0;403.804;18.6281;22.5731;
0.41;45.0638;0;0;402.196;19.3268;22.577;
0.413333;45.0736;0;0;402.171;18.685;22.577;
0.416667;45.0245;0;0;399.39;19.2934;22.579;
0.42;45.0834;0;0;399.925;18.2022;22.579;
0.423333;45.0638;0;0;400.078;18.8577;22.581;
0.426667;45.103;0;0;400.334;18.3062;22.581;
0.43;45.0736;0;0;399.339;18.5515;22.5731;
0.433333;45.0932;0;0;398.803;18.7556;22.5613;
0.436667;45.0834;0;0;400.206;18.7183;22.5535;
0.44;45.0638;0;0;402.324;19.3562;22.5476;
0.443333;45.1129;0;0;403.242;18.4671;22.5417;
0.446667;45.103;0;0;400.053;19.0285;22.5378;
0.45;45.103;0;0;400.793;17.9313;22.5339;
0.453333;45.1521;0;0;398.139;18.2395;22.528;
0.456667;45.1129;0;0;400.129;17.8881;22.5182;
0.46;45.1227;0;0;401.201;18.2866;22.5123;
0.463333;45.1325;0;0;400.895;19.2895;22.5044;
0.466667;45.1423;0;0;400.946;18.5358;22.5005;
0.47;45.1619;0;0;399.925;19.1345;22.4966;
0.473333;45.1423;0;0;401.329;18.2198;22.4907;
0.476667;45.1521;0;0;401.125;18.7596;22.4907;
0.48;45.1619;0;0;400.691;18.5535;22.4907;
0.483333;45.1423;0;0;397.144;18.2787;22.4946;
0.486667;45.1717;0;0;397.859;18.8047;22.4926;
0.49;45.1815;0;0;398.828;18.5397;22.4926;
0.493333;45.1815;0;0;401.916;19.4504;22.4966;
0.496667;45.2012;0;0;403.293;18.5064;22.4966;
0.5;45.211;0;0;399.772;18.9657;22.4966;
0.503333;45.2012;0;0;400.002;18.0648;22.4985;
0.506667;45.2012;0;0;397.808;18.2532;22.4985;
0.51;45.1914;0;0;399.747;17.8705;22.5025;
0.513333;45.211;0;0;400.461;18.0962;22.5025;
0.516667;45.2306;0;0;399.823;19.2463;22.5005;
0.52;45.2306;0;0;398.114;18.6791;22.5025;
0.523333;45.2208;0;0;396.966;19.4328;22.5044;
0.526667;45.211;0;0;399.492;18.5476;22.5162;
0.53;45.1815;0;0;401.38;18.9774;22.5319;
0.533333;45.2208;0;0;402.145;18.5692;22.5437;
0.536667;45.2502;0;0;398.267;18.3062;22.5535;
0.54;45.2601;0;0;399.237;18.6182;22.5613;
0.543333;45.2502;0;0;398.139;18.3494;22.5692;
0.546667;45.2404;0;0;400.334;19.4033;22.5731;
0.55;45.2797;0;0;402.809;18.6065;22.577;
0.553333;45.2797;0;0;400.691;18.6987;22.579;
0.556667;45.2797;0;0;401.278;18.0726;22.579;
0.56;45.2797;0;0;399.543;17.9902;22.579;
0.563333;45.2699;0;0;400.895;18.2139;22.579;
0.566667;45.2601;0;0;401.252;18.0098;22.577;
0.57;45.2797;0;0;402.4;19.1717;22.5751;
0.573333;45.2797;0;0;399.109;18.7085;22.577;
0.576667;45.2993;0;0;399.007;18.946;22.577;
0.58;45.2993;0;0;400.129;18.5299;22.5849;
0.583333;45.3091;0;0;402.145;18.4377;22.5888;
0.586667;45.3484;0;0;403.447;18.7262;22.5927;
0.59;45.2895;0;0;399.67;18.157;22.5947;
0.593333;45.3091;0;0;399.543;18.6438;22.5967;
0.596667;45.3189;0;0;397.578;18.3435;22.5986;
0.6;45.3386;0;0;399.083;19.0756;22.6026;
0.603333;45.3189;0;0;400.027;18.687;22.6026;
0.606667;45.3189;0;0;398.318;18.4632;22.5986;
0.61;45.3091;0;0;398.42;18.3611;22.6006;
0.613333;45.3091;0;0;397.68;17.8528;22.5986;
0.616667;45.3091;0;0;400.334;18.208;22.5986;
0.62;45.3386;0;0;401.992;17.792;22.5967;
0.623333;45.3386;0;0;403.166;19.054;22.5967;
0.626667;45.3091;0;0;398.701;18.9676;22.5908;
0.63;45.3582;0;0;399.339;19.0069;22.579;
0.633333;45.3778;0;0;398.879;18.8636;22.5711;
0.636667;45.3288;0;0;401.354;18.4318;22.5633;
0.64;45.3778;0;0;402.375;18.8106;22.5574;
0.643333;45.3876;0;0;399.721;18.0569;22.5515;
0.646667;45.3484;0;0;399.185;18.685;22.5476;
0.65;45.3778;0;0;398.037;18.051;22.5476;
0.653333;45.368;0;0;399.696;18.7753;22.5437;
0.656667;45.3582;0;0;400.027;18.9028;22.5397;
0.66;45.368;0;0;400.206;18.528;22.5378;
0.663333;45.4073;0;0;397.706;18.7949;22.5358;
0.666667;45.3876;0;0;398.752;17.7547;22.5358;
0.67;45.3778;0;0;400.691;18.6124;22.5358;
0.673333;45.3778;0;0;402.758;17.9804;22.5319;
0.676667;45.4073;0;0;402.987;18.8675;22.5319;
0.68;45.4171;0;0;399.568;18.8302;22.5319;
0.683333;45.368;0;0;400.487;18.7027;22.5299;
0.686667;45.4073;0;0;399.237;18.8714;22.528;
0.69;45.4171;0;0;401.074;18.3768;22.528;
0.693333;45.3876;0;0;402.094;18.8518;22.528;
0.696667;45.4171;0;0;400.946;18.0844;22.526;
0.7;45.4269;0;0;400.589;18.6143;22.5221;
0.703333;45.4269;0;0;400.385;18.1766;22.5201;
0.706667;45.4269;0;0;401.788;18.842;22.5182;
0.71;45.3876;0;0;402.043;19.001;22.5142;
0.713333;45.3974;0;0;401.763;18.5476;22.5123;
0.716667;45.4465;0;0;397.348;19.1266;22.5123;
0.72;45.4269;0;0;398.395;18.0903;22.5103;
0.723333;45.4171;0;0;398.318;18.5221;22.5083;
0.726667;45.4269;0;0;400.819;17.8646;22.5083;
0.73;45.4269;0;0;402.681;18.7851;22.5044;
0.733333;45.4367;0;0;401.201;18.4495;22.5044;
0.736667;45.4269;0;0;401.405;18.8577;22.5025;
0.74;45.4269;0;0;399.594;19.1855;22.5005;
0.743333;45.3876;0;0;399.772;18.7242;22.5025;
0.746667;45.4269;0;0;400.078;19.158;22.5025;
0.75;45.4465;0;0;400.002;18.0903;22.5103;
0.753333;45.4367;0;0;398.165;18.4671;22.5182;
0.756667;45.4269;0;0;398.471;17.7272;22.524;
0.76;45.4269;0;0;400.461;18.5437;22.528;
0.763333;45.4367;0;0;401.941;18.2041;22.5319;
0.766667;45.4858;0;0;403.064;18.8283;22.5358;
0.77;45.4367;0;0;399.823;19.2659;22.5378;
0.773333;45.4367;0;0;399.925;18.4141;22.5397;
0.776667;45.4563;0;0;397.552;18.7929;22.5476;
0.78;45.4661;0;0;399.772;17.9195;22.5555;
0.783333;45.4367;0;0;401.354;18.8047;22.5613;
0.786667;45.4563;0;0;399.849;18.3003;22.5653;
0.79;45.4661;0;0;399.007;18.6202;22.5672;
0.793333;45.4367;0;0;398.675;18.8126;22.5711;
