Graphics v 0.2.5 ';' exported '2021-12-21 11:44:57'
;Record #0;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0.36;95.8822;0;0;400.563;14.2944;22.0667;
0.363333;95.8862;0;0;400.844;14.6241;22.0648;
0.366667;95.8881;0;0;400.716;14.2709;22.0648;
0.37;95.8665;0;0;401.686;14.9696;22.0648;
0.373333;95.8646;0;0;401.711;14.6693;22.0648;
0.376667;95.8606;0;0;401.941;15.0913;22.0648;
0.38;95.8606;0;0;398.599;15.0442;22.0628;
0.383333;95.8567;0;0;399.67;14.8597;22.0608;
0.386667;95.8665;0;0;398.879;14.7478;22.055;
0.39;95.8842;0;0;400.921;14.5574;22.053;
0.393333;95.9038;0;0;401.839;14.9205;22.051;
0.396667;95.9352;0;0;400.538;14.3768;22.051;
0.4;95.9568;0;0;400.078;14.7753;22.0471;
0.403333;95.9607;0;0;399.874;14.2139;22.0491;
0.406667;95.9647;0;0;401.023;14.9853;22.0589;
0.41;95.9725;0;0;401.201;14.4985;22.0667;
0.413333;95.9843;0;0;401.099;15.2718;22.0707;
0.416667;95.9882;0;0;398.139;14.844;22.0765;
0.42;96.0137;0;0;398.726;14.9735;22.0805;
0.423333;96.0275;0;0;399.364;14.7635;22.0824;
0.426667;96.0393;0;0;401.686;14.8577;22.0883;
0.43;96.0491;0;0;402.604;14.8813;22.1021;
0.433333;96.0549;0;0;400.793;14.4887;22.1158;
0.436667;96.0451;0;0;400.665;14.5633;22.1256;
0.44;96.0491;0;0;399.823;14.2453;22.1335;
0.443333;96.0471;0;0;400.436;14.9342;22.1413;
0.446667;96.0569;0;0;400.487;14.577;22.1452;
0.45;96.0569;0;0;400.41;15.3582;22.1492;
0.453333;96.0766;0;0;398.497;14.789;22.1394;
0.456667;96.106;0;0;398.803;15.1364;22.1276;
0.46;96.1158;0;0;400.257;14.7439;22.1178;
0.463333;96.1178;0;0;402.375;14.9244;22.1099;
0.466667;96.1236;0;0;402.707;14.6909;22.1021;
0.47;96.1138;0;0;399.9;14.3651;22.0981;
0.473333;96.1197;0;0;399.594;14.6477;22.0923;
0.476667;96.1197;0;0;398.369;14.3847;22.0923;
0.48;96.1256;0;0;399.798;14.7282;22.0981;
0.483333;96.1256;0;0;398.752;14.5986;22.1001;
0.486667;96.1472;0;0;398.803;14.9421;22.104;
0.49;96.1551;0;0;397.68;14.4436;22.106;
0.493333;96.1629;0;0;397.986;15.2816;22.106;
0.496667;96.1668;0;0;399.747;14.84;22.108;
0.5;96.1668;0;0;401.839;15.5859;22.108;
0.503333;96.1511;0;0;402.477;14.632;22.1099;
0.506667;96.1433;0;0;399.415;14.7812;22.1119;
0.51;96.1335;0;0;400.181;14.1865;22.1119;
0.513333;96.1413;0;0;399.134;14.4357;22.1119;
0.516667;96.1433;0;0;400.563;14.5456;22.1138;
0.52;96.1472;0;0;401.38;14.6811;22.1138;
0.523333;96.1609;0;0;400.921;15.3287;22.1158;
0.526667;96.1649;0;0;399.364;14.9009;22.1315;
0.53;96.1668;0;0;399.798;15.3209;22.1433;
0.533333;96.159;0;0;400.512;14.8086;22.1531;
0.536667;96.1394;0;0;401.456;15.3425;22.1629;
0.54;96.1354;0;0;401.839;14.5653;22.1688;
0.543333;96.1374;0;0;397.578;14.9755;22.1747;
0.546667;96.1236;0;0;398.369;14.1452;22.1806;
0.55;96.1335;0;0;397.552;14.4926;22.1806;
0.553333;96.1394;0;0;400.078;14.2238;22.1766;
0.556667;96.1511;0;0;400.921;14.8067;22.1786;
0.56;96.1433;0;0;400.232;14.7635;22.1766;
0.563333;96.1492;0;0;399.619;14.9244;22.1747;
0.566667;96.1511;0;0;399.517;15.2797;22.1747;
0.57;96.1335;0;0;400.538;14.8479;22.1747;
0.573333;96.1256;0;0;400.819;15.3994;22.1708;
0.576667;96.1197;0;0;400.819;14.6084;22.1609;
0.58;96.1178;0;0;397.859;15.0599;22.1531;
0.583333;96.1335;0;0;398.497;14.1904;22.1472;
0.586667;96.1433;0;0;398.879;14.5299;22.1433;
0.59;96.1511;0;0;401.099;14.0137;22.1394;
0.593333;96.1492;0;0;401.763;14.9696;22.1374;
0.596667;96.1452;0;0;400.64;14.5947;22.1315;
0.6;96.1452;0;0;400.359;14.9107;22.1236;
0.603333;96.1315;0;0;400.002;15.2012;22.1158;
0.606667;96.1178;0;0;400.997;14.8989;22.1138;
0.61;96.1119;0;0;400.946;15.2188;22.108;
0.613333;96.1158;0;0;402.707;14.5927;22.104;
0.616667;96.1158;0;0;398.854;14.8067;22.1001;
0.62;96.1236;0;0;398.675;14.1806;22.0981;
0.623333;96.1354;0;0;399.517;14.4691;22.0981;
0.626667;96.1394;0;0;401.584;14.0844;22.106;
0.63;96.1394;0;0;401.763;15.0834;22.1158;
0.633333;96.1295;0;0;399.798;14.9087;22.1236;
0.636667;96.1256;0;0;399.415;15.1227;22.1295;
0.64;96.1079;0;0;398.675;15.0402;22.1354;
0.643333;96.1119;0;0;399.262;14.8204;22.1394;
0.646667;96.106;0;0;398.445;15.1384;22.1433;
0.65;96.1021;0;0;399.058;14.7969;22.1492;
0.653333;96.1236;0;0;398.037;14.8577;22.157;
0.656667;96.1335;0;0;399.16;14.2669;22.1649;
0.66;96.1276;0;0;399.798;14.7419;22.1708;
0.663333;96.1236;0;0;399.696;14.4475;22.1727;
0.666667;96.1236;0;0;402.349;15.2208;22.1766;
0.67;96.1119;0;0;398.803;14.7812;22.1806;
0.673333;96.1001;0;0;399.237;15.3052;22.1825;
0.676667;96.0981;0;0;398.981;15.4779;22.1786;
0.68;96.0903;0;0;399.109;15.0206;22.1727;
0.683333;96.0922;0;0;400.155;15.1443;22.1708;
0.686667;96.1099;0;0;400.334;14.632;22.1688;
0.69;96.1178;0;0;400.129;14.6968;22.1668;
0.693333;96.1197;0;0;400.078;14.3082;22.1649;
0.696667;96.1256;0;0;398.063;14.6025;22.1629;
0.7;96.1295;0;0;401.482;14.2571;22.1551;
0.703333;96.1099;0;0;401.609;15.1973;22.1492;
0.706667;96.1001;0;0;398.701;14.6614;22.1433;
0.71;96.0962;0;0;399.823;15.2915;22.1394;
